Tanggal,Kab/Kota,Harga
2021-03-26,Kota Malang,10500
2021-03-26,Kota Mojokerto,11000
2021-03-26,Kota Pasuruan,11000
2021-03-26,Kota Probolinggo,10000
2021-03-26,Kota Surabaya,10500
2021-03-27,Kab. Bangkalan,11000
2021-03-27,Kab. Banyuwangi,10000
2021-03-27,Kab. Blitar,9500
2021-03-27,Kab. Bojonegoro,
2021-03-27,Kab. Bondowoso,10500
2021-03-27,Kab. Gresik,10600
2021-03-27,Kab. Jember,11500
2021-03-27,Kab. Jombang,9500
2021-03-27,Kab. Kediri,9500
2021-03-27,Kab. Lamongan,10000
2021-03-27,Kab. Lumajang,10500
2021-03-27,Kab. Madiun,9750
2021-03-27,Kab. Magetan,10000
2021-03-27,Kab. Malang,
2021-03-27,Kab. Mojokerto,9300
2021-03-27,Kab. Nganjuk,9300
2021-03-27,Kab. Ngawi,9200
2021-03-27,Kab. Pacitan,9800
2021-03-27,Kab. Pamekasan,11000
2021-03-27,Kab. Pasuruan,10500
2021-03-27,Kab. Ponorogo,10500
2021-03-27,Kab. Probolinggo,9600
2021-03-27,Kab. Sampang,10500
2021-03-27,Kab. Sidoarjo,10300
2021-03-27,Kab. Situbondo,10500
2021-03-27,Kab. Sumenep,10500
2021-03-27,Kab. Trenggalek,10000
2021-03-27,Kab. Tuban,9500
2021-03-27,Kab. Tulungagung,9500
2021-03-27,Kota Batu,11200
2021-03-27,Kota Blitar,10500
2021-03-27,Kota Kediri,10000
2021-03-27,Kota Madiun,10200
2021-03-27,Kota Malang,10500
2021-03-27,Kota Mojokerto,11000
2021-03-27,Kota Pasuruan,11000
2021-03-27,Kota Probolinggo,10000
2021-03-27,Kota Surabaya,10500
2021-03-28,Kab. Bangkalan,11000
2021-03-28,Kab. Banyuwangi,10000
2021-03-28,Kab. Blitar,9600
2021-03-28,Kab. Bojonegoro,10000
2021-03-28,Kab. Bondowoso,10500
2021-03-28,Kab. Gresik,10500
2021-03-28,Kab. Jember,10500
2021-03-28,Kab. Jombang,9500
2021-03-28,Kab. Kediri,9000
2021-03-28,Kab. Lamongan,10000
2021-03-28,Kab. Lumajang,10500
2021-03-28,Kab. Madiun,9750
2021-03-28,Kab. Magetan,10000
2021-03-28,Kab. Malang,
2021-03-28,Kab. Mojokerto,9300
2021-03-28,Kab. Nganjuk,9300
2021-03-28,Kab. Ngawi,9200
2021-03-28,Kab. Pacitan,9000
2021-03-28,Kab. Pamekasan,11000
2021-03-28,Kab. Pasuruan,10500
2021-03-28,Kab. Ponorogo,
2021-03-28,Kab. Probolinggo,9600
2021-03-28,Kab. Sampang,10500
2021-03-28,Kab. Sidoarjo,10300
2021-03-28,Kab. Situbondo,10500
2021-03-28,Kab. Sumenep,10500
2021-03-28,Kab. Trenggalek,9000
2021-03-28,Kab. Tuban,9500
2021-03-28,Kab. Tulungagung,9500
2021-03-28,Kota Batu,11100
2021-03-28,Kota Blitar,10500
2021-03-28,Kota Kediri,10000
2021-03-28,Kota Madiun,10200
2021-03-28,Kota Malang,10500
2021-03-28,Kota Mojokerto,
2021-03-28,Kota Pasuruan,11000
2021-03-28,Kota Probolinggo,10000
2021-03-28,Kota Surabaya,10500
2021-03-29,Kab. Bangkalan,11000
2021-03-29,Kab. Banyuwangi,10000
2021-03-29,Kab. Blitar,
2021-03-29,Kab. Bojonegoro,10000
2021-03-29,Kab. Bondowoso,10500
2021-03-29,Kab. Gresik,10600
2021-03-29,Kab. Jember,11500
2021-03-29,Kab. Jombang,
2021-03-29,Kab. Kediri,9100
2021-03-29,Kab. Lamongan,10000
2021-03-29,Kab. Lumajang,10500
2021-03-29,Kab. Madiun,9750
2021-03-29,Kab. Magetan,10000
2021-03-29,Kab. Malang,
2021-03-29,Kab. Mojokerto,9300
2021-03-29,Kab. Nganjuk,9300
2021-03-29,Kab. Ngawi,9200
2021-03-29,Kab. Pacitan,9000
2021-03-29,Kab. Pamekasan,11000
2021-03-29,Kab. Pasuruan,10500
2021-03-29,Kab. Ponorogo,11500
2021-03-29,Kab. Probolinggo,9600
